@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-19,31-53-weka.filters.unsupervised.attribute.Remove-R14'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute rlmMclcs numeric
@attribute rlmNormMclcs numeric
@attribute rlmTotalLength(SO_ou_RLMSO) numeric
@attribute rlmNormTotalLength(SO_ou_RLMSO_div) numeric
@attribute rlmTotalLength(SO_ou_RLMSO)DivWord2Length numeric
@attribute rlmTotalLength(WSO_ou_RLMWSO)Weighted numeric
@attribute rlmTotalLengthWeightedInv numeric
@attribute rlmMaxLengthOccurrences(MO) numeric
@attribute rlmMaxLength(MORL) numeric
@attribute rlmMaxOccurrencesMinLength(MOML) numeric
@attribute classe {non,light,heavy,cut}

@data
81,526,445,445,12,0.00338,848,16.877998,1.612167,1558,635,624,8,624,light
174,251,77,77,21,0.010098,1165,31.07627,4.641434,3557,692,672,11,672,heavy
33,317,284,284,2,0.000382,108,1.114999,0.340694,109,108,107,1,107,non
91,317,226,226,2,0.000139,213,1.572746,0.671924,220,207,206,2,206,non
283,307,24,24,76,0.066482,9222,978.870915,30.039087,190701,1117,1042,53,1042,light
87,526,439,439,59,0.076067,2308,116.403654,4.387833,36557,632,574,30,574,heavy
76,251,175,175,3,0.000472,348,6.348501,1.386454,384,316,314,2,314,non
65,317,252,252,3,0.000437,208,2.099685,0.656151,214,205,203,2,203,non
96,317,221,221,2,0.000131,251,2.070222,0.791798,257,246,245,2,245,cut
206,307,101,101,2,0.000063,557,4.905743,1.814332,580,535,534,2,534,non
207,526,319,319,5,0.00023,1565,22.494306,2.975285,1701,1463,1459,4,1459,heavy
215,251,36,36,8,0.001186,951,16.759029,3.788845,1396,752,745,6,745,light
243,317,74,74,62,0.049902,3188,131.938362,10.056783,43350,1177,1116,31,1116,cut
186,317,131,131,2,0.000068,456,3.52661,1.438486,469,444,443,2,443,non
164,307,143,143,2,0.000079,472,4.424883,1.537459,494,451,450,2,450,non
207,526,319,319,3,0.000083,1565,22.494306,2.975285,1635,1502,1500,3,1500,non
251,251,0,0,7,0.000778,1285,26.209505,5.119522,1699,1046,1040,6,1040,heavy
188,317,129,129,10,0.001678,1277,27.363061,4.028391,1893,1035,1026,8,1026,light
303,317,14,14,2,0.000042,857,7.646448,2.70347,873,842,841,2,841,cut
217,307,90,90,9,0.001216,951,13.575722,3.09772,1465,742,734,7,734,light
278,526,248,248,44,0.01324,3729,95.094243,7.089354,29476,1937,1894,29,1894,cut
118,251,133,133,3,0.000304,480,7.779053,1.912351,529,438,436,3,436,non
147,317,170,170,7,0.001052,673,9.719715,2.123028,828,593,587,5,587,non
206,317,111,111,4,0.000245,724,8.026952,2.283912,794,661,658,2,658,heavy
286,307,21,21,3,0.000103,700,5.580738,2.28013,718,685,683,2,683,non
263,526,263,263,11,0.000875,2546,46.857089,4.840304,3330,2217,2207,8,2207,heavy
243,251,8,8,36,0.021248,2262,83.889036,9.011952,12503,1022,987,18,987,light
330,317,-13,13,62,0.036746,4380,183.389733,13.817035,58409,1515,1454,36,1454,cut
211,317,106,106,2,0.00006,530,4.19962,1.671924,533,528,527,2,527,non
258,307,49,49,3,0.000114,652,5.367068,2.123779,673,634,632,2,632,non
217,526,309,309,4,0.00014,1410,17.417778,2.680608,1482,1348,1345,3,1345,non
201,251,50,50,9,0.001606,733,10.64972,2.920319,940,633,625,5,625,heavy
252,317,65,65,27,0.009126,3056,116.908718,9.640379,13995,1352,1326,19,1326,light
271,317,46,46,4,0.000186,751,6.565251,2.369085,774,735,732,2,732,cut
206,307,101,101,45,0.03202,3121,154.02171,10.166123,35486,727,683,29,683,cut
185,526,341,341,3,0.000092,1541,24.403258,2.929658,1653,1439,1437,3,1437,non
240,251,11,11,4,0.000266,1223,24.829499,4.87251,1365,1100,1097,3,1097,non
253,317,64,64,20,0.004987,2411,72.479408,7.605678,5093,1680,1661,11,1661,heavy
204,317,113,113,4,0.000247,671,6.962346,2.116719,732,619,616,3,616,light
352,307,-45,45,23,0.004895,2332,50.324104,7.596091,8505,1242,1220,16,1220,heavy
160,526,366,366,15,0.002673,1749,36.347445,3.325095,3304,1308,1294,10,1294,light
115,251,136,136,2,0.000139,253,2.21753,1.007968,268,239,238,2,238,cut
165,317,152,152,4,0.000306,709,9.610573,2.236593,753,672,669,2,669,non
182,317,135,135,3,0.000156,652,7.368253,2.056782,682,625,623,2,623,non
199,307,108,108,5,0.000409,703,8.089454,2.289902,753,667,663,3,663,non
209,526,317,317,9,0.000737,2037,37.744183,3.872624,2471,1805,1797,6,1797,heavy
335,251,-84,84,11,0.001439,2033,49.153702,8.099602,3795,1407,1397,9,1397,light
303,317,14,14,92,0.08812,8666,781.871672,27.33754,161351,1872,1781,46,1781,cut
248,317,69,69,3,0.000114,716,6.521014,2.258675,732,703,701,2,701,non
212,307,95,95,4,0.000246,615,5.811336,2.003257,651,586,583,2,583,non
308,526,218,218,3,0.000056,1953,23.543337,3.712928,2011,1899,1897,2,1897,non
224,251,27,27,9,0.001441,998,17.714926,3.976096,1331,830,822,6,822,heavy
138,317,179,179,18,0.007406,1017,23.643053,3.208202,2233,735,718,9,718,light
143,317,174,174,4,0.000353,608,8.154773,1.917981,650,573,570,2,570,cut
128,307,179,179,64,0.104235,3211,262.380929,10.459284,52505,557,494,32,494,cut
183,526,343,343,3,0.000093,1148,13.691371,2.182509,1191,1110,1108,3,1108,non
104,251,147,147,3,0.000345,292,3.266319,1.163347,320,270,268,3,268,non
107,317,210,210,6,0.001061,785,18.167546,2.476341,1053,618,613,5,613,heavy
101,317,216,216,3,0.000281,305,2.905488,0.962145,315,298,296,2,296,light
202,307,105,105,3,0.000145,544,4.772084,1.771987,571,520,518,2,518,non
215,526,311,311,2,0.000035,1166,12.021894,2.21673,1186,1147,1146,2,1146,non
217,251,34,34,25,0.011475,1739,55.522078,6.928287,5738,995,971,13,971,heavy
218,317,99,99,12,0.002084,2181,68.832822,6.880126,4548,1348,1337,10,1337,light
379,317,-62,62,5,0.000208,2577,55.275205,8.129337,3771,1783,1779,5,1779,cut
283,307,24,24,76,0.066482,8351,802.697955,27.201954,161624,1116,1041,49,1041,cut
185,526,341,341,3,0.000092,1310,17.635392,2.490494,1361,1263,1261,2,1261,non
122,251,129,129,4,0.000523,379,4.690778,1.50996,408,360,357,3,357,non
287,317,30,30,44,0.02128,5024,277.43299,15.84858,38215,1647,1604,26,1604,heavy
255,317,62,62,4,0.000198,853,9.001163,2.690852,883,831,828,3,828,light
202,307,105,105,10,0.001613,860,11.926339,2.801303,1282,686,677,6,677,light
242,526,284,284,3,0.000071,1648,21.336015,3.13308,1701,1601,1599,3,1599,cut
246,251,5,5,3,0.000146,751,9.134211,2.992032,801,709,707,3,707,non
225,317,92,92,4,0.000224,884,10.956271,2.788644,913,862,859,2,859,non
251,317,66,66,4,0.000201,747,7.013071,2.356467,766,735,732,2,732,heavy
210,307,97,97,4,0.000248,594,5.472871,1.934853,650,549,546,3,546,heavy
239,526,287,287,64,0.032582,6860,374.338578,13.041825,99455,1891,1828,42,1828,light
207,251,44,44,39,0.029274,1806,62.77568,7.195219,12323,903,865,20,865,cut
243,317,74,74,5,0.000325,1962,49.97266,6.189274,2599,1509,1505,5,1505,non
243,317,74,74,3,0.000117,903,10.585466,2.84858,950,859,857,2,857,non
