@relation words-weka.filters.unsupervised.attribute.Remove-R20-53

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute comProbabilityChar0Dist0 numeric
@attribute comProbabilityChar0Dist0DivWord2Length numeric
@attribute comProbabilityCharMDist0 numeric
@attribute comProbabilityChar0DistM numeric
@attribute comProbabilityCharMDistM numeric
@attribute comWeightedTotalProbabilityDist0 numeric
@attribute comWeightedTotalProbabilityDist1 numeric
@attribute comWeightedTotalProbabilityDistM numeric
@attribute comWeightedTotalProbability numeric
@attribute comNormWeightedTotalProbability numeric
@attribute comWeightedTotalProbability(WTPS)DivWord1Length numeric
@attribute comWeightedTotalProbability(WTPS)DivWord2Length numeric
@attribute comWeightedTotalProbability(WTPS)Div numeric
@attribute comMagicalColumnDiv(COD) numeric
@attribute comMagicalColumnDiv2(COD) numeric
@attribute classe {non,light,heavy,cut}

@data
215,251,36,36,0,0,0.333333,0,0,-17,-60,-73,-18969,6667.70983,-88.227905,-75.57371,-21286.264,-949118,340.5,light
243,317,74,74,0,0,0,0,0,-55,-67,-81,-21879,6214.259727,-90.03704,-69.01893,-27428.838,-3160535,554,cut
186,317,131,131,0,0,0,0,0.5,-187,-172,-172,-55605,52439.130711,-298.9516,-175.4101,-57034.37,-2079976,222,non
164,307,143,143,0,0,0,0,0,-194,-194,-182,-56529,63468.813875,-344.68903,-184.13354,-57853.594,-2234341,228,non
207,526,319,319,0,0,0,0,0,-179,-182,-175,-116257,124131.537343,-561.628,-221.02092,-131478.62,-26021248,707.2833,non
251,251,0,0,0,0,0,0,0,-9,-48,-30,-8594,1172.312122,-34.239044,-34.239044,-12255.516,-1455323,411.16666,heavy
188,317,129,129,0,0,0,0,0,-74,-82,-62,-20299,6914.044584,-107.973404,-64.0347,-27695.264,-6122115,499.5,light
303,317,14,14,0.25,0.000789,0.5,0,0,-160,-199,-199,-57616,34560.842219,-190.15181,-181.75394,-60412.273,-2484472,328.8333,cut
217,307,90,90,0.142857,0.000465,0,0,0,-71,-94,-100,-30217,13705.805986,-139.24884,-98.42671,-32641.467,-2025307,426.8333,light
278,526,248,248,0.020408,0.000039,0.122449,0,0,278,-208,0,-79986,43751.950352,-287.71942,-152.06464,-100116.69,-28048312,872.5,cut
118,251,133,133,0,0,0,0,0.666667,-142,-87,-121,-31512,33527.116753,-267.05084,-125.545815,-33657.227,-1307443,230.83333,non
147,317,170,170,0,0,0,0,0,-147,-154,-157,-44103,41740.694199,-300.02042,-139.12619,-47185.01,-4382598,265.33334,non
206,317,111,111,0,0,0,0,0,-174,-173,-153,-53210,43357.080947,-258.30096,-167.85489,-56957.95,-3420828,298,heavy
286,307,21,21,0,0,0,0,0.333333,-164,-149,-164,-47066,25229.588802,-164.56644,-153.30945,-48653.805,-1707827,276,non
263,526,263,263,0,0,1,0,0.285714,-168,-58,-168,-73004,38525.813703,-277.58176,-138.79088,-96851.516,-30429074,1042.25,heavy
243,251,8,8,0,0,0,0,0,115,102,-24,-4890,392.046628,-20.123457,-19.48207,-7882.768,-1073664,392.5,light
330,317,-13,13,0,0,0,0,0,-45,-50,-24,-12890,1588.300354,-39.060608,-40.66246,-17797.957,-3446442,513.1666,cut
211,317,106,106,0,0,0.333333,0,1,-162,-184,-198,-58480,51129.672433,-277.1564,-184.47949,-60471.586,-1543709,246.66667,non
258,307,49,49,0.333333,0.001086,0,0,0,-151,-159,-163,-49248,30620.982047,-190.88373,-160.41693,-50893.27,-2005736,301.5,non
217,526,309,309,0,0,0,0,0.25,-220,-228,-159,-115931,117748.039819,-534.24426,-220.40114,-127330.086,-23186308,626.8334,non
201,251,50,50,0,0,0,0,0,-68,-26,-78,-17836,6305.581574,-88.73632,-71.05976,-19949.566,-845849,298.5,heavy
252,317,65,65,0,0,0.014925,0,0,339,189,-17,-687,5.908179,-2.726191,-2.167193,-6925.049,-3454830,643.3334,light
271,317,46,46,0,0,0,0,0,-177,-140,-185,-52698,32326.576461,-194.45757,-166.23975,-55602.477,-2968418,288.83334,cut
206,307,101,101,0,0,0,0,0,-98,-83,-3,-28956,13257.802347,-140.56311,-94.31922,-30969.568,-3816627,324.83334,cut
185,526,341,341,0,0,0.2,0,1,-190,-191,-150,-103718,110547.975789,-560.6378,-197.18251,-118065.3,-25020564,708.5834,non
240,251,11,11,0,0,0,0,0,-60,-77,-57,-23770,9379.36421,-99.041664,-94.701195,-27506.34,-1950081,357.58334,non
253,317,64,64,0.166667,0.000526,0,0,0,-68,-66,16,-15321,2926.809404,-60.557312,-48.33123,-29091.654,-7304019,729.69995,heavy
204,317,113,113,0,0,0,0,0,-165,-122,-160,-53454,44184.606235,-262.02942,-168.6246,-57049.34,-3112188,282,light
352,307,-45,45,0,0,0,0,0,9,-17,-14,-6206,356.403946,-17.630682,-20.214983,-7917.3423,-1778863,350,heavy
160,526,366,366,0.1,0.00019,0.1,0,0,-129,-187,-165,-90797,97957.40505,-567.48126,-172.61787,-102650.516,-24933636,486.2,light
115,251,136,136,0,0,0,0,0,-157,-138,-145,-37446,48577.963485,-325.6174,-149.18726,-38164.617,-678325,130,cut
165,317,152,152,0,0,0,0,0,-132,-126,-116,-37584,27006.15727,-227.78181,-118.561516,-41617.6,-3820069,307.83334,non
182,317,135,135,0,0,0,0,0,-179,-187,-167,-54392,51278.983326,-298.85715,-171.5836,-58083.8,-3138132,298.83334,non
199,307,108,108,0.125,0.000407,0,0,0,-118,-161,-164,-46359,35178.447302,-232.9598,-151.00652,-48405.69,-2468052,320.83334,non
209,526,317,317,0,0,0,0,0,-154,-153,-109,-71405,46379.409691,-341.65073,-135.75095,-91114.37,-28027764,891.3167,heavy
335,251,-84,84,0.111111,0.000443,0,0,0,23,30,-16,-2059,50.418993,-6.146269,-8.203187,-5139.5796,-728341,400.5,light
303,317,14,14,0.014286,0.000045,0,0,0,427,419,10,12879,1726.880938,42.50495,40.62776,1686.0132,-2904406,962.6667,cut
248,317,69,69,0.5,0.001577,0,0,0,-185,-181,-196,-57366,41859.900733,-231.31451,-180.9653,-59757.367,-2302721,294.6667,non
212,307,95,95,0,0,0,0,0,-167,-179,-143,-51765,41171.643184,-244.17453,-168.61563,-53349.617,-1945115,270,non
308,526,218,218,0.25,0.000475,0,0,0,-121,-171,-175,-109176,73572.903659,-354.46753,-207.55893,-126351.36,-21882588,895.75006,non
224,251,27,27,0,0,0,0,0,-18,-71,-59,-16768,5000.815026,-74.85714,-66.80478,-20280.91,-1873952,351,heavy
138,317,179,179,0,0,0,0.333333,0,-116,-130,-78,-32268,23801.577836,-233.82608,-101.7918,-37866.246,-4878373,360.49994,light
143,317,174,174,0,0,0,0,0,-184,-161,-131,-54481,65477.914915,-380.98602,-171.86435,-58718.305,-4176115,259.3333,cut
128,307,179,179,0.041667,0.000136,0.041667,0,0,-12,-97,-87,-29207,21708.287078,-228.17969,-95.13681,-30715.033,-2774453,282,cut
183,526,343,343,0,0,0,0,0,-221,-221,-236,-112837,132271.484645,-616.59564,-214.51901,-124245.37,-21388114,451.6166,non
104,251,147,147,0,0,0,0,0,-126,-144,-96,-33353,42615.024862,-320.70193,-132.88048,-34402.633,-1190815,137.33334,non
107,317,210,210,0.166667,0.000526,0,0,0,-105,-132,-106,-35591,37345.419411,-332.62616,-112.274445,-39035.082,-4666002,287,heavy
101,317,216,216,1,0.003155,0,0,0,-199,-200,-200,-60080,112740.306712,-594.8515,-189.52681,-61195,-2457452,127.833336,light
202,307,105,105,0,0,0,0,0,-165,-175,-187,-54267,47487.781614,-268.64853,-176.76547,-55741.664,-2214065,245.91666,non
215,526,311,311,0,0,0,0,0,-231,-213,-258,-130999,151744.079945,-609.29767,-249.04753,-140828.56,-18144356,538.3333,non
217,251,34,34,0,0,0,0.5,0,-11,-14,-22,-9533,1668.498155,-43.930874,-37.98008,-12973.7,-1198712,357.1667,heavy
218,317,99,99,0.076923,0.000243,0.076923,0,0,50,-11,45,-8113,952.460987,-37.215595,-25.59306,-19049.385,-5024641,736.66907,light
379,317,-62,62,0.333333,0.001052,0,0,0,-129,-129,-115,-42035,14706.984385,-110.91029,-132.60252,-53154.09,-3179865,636.6667,cut
283,307,24,24,0.029412,0.000096,0,0,0,108,-4,-14,-5,0.000288,-0.017668,-0.016287,-2638.4473,-1898601,541.3334,cut
185,526,341,341,0,0,0,0,0.5,-247,-223,-211,-114812,135461.877957,-620.6054,-218.27376,-127860.625,-21746082,547.38336,non
122,251,129,129,0,0,0,0,0,-146,-150,-131,-34364,38563.271374,-281.67212,-136.90837,-35856.535,-1143252,214.66667,non
287,317,30,30,0.090909,0.000287,0,0,0,80,58,20,6607,479.807967,23.020906,20.842272,-1119.187,-3076384,799.5,heavy
255,317,62,62,0.125,0.000394,0,0,0,-84,-157,-154,-51053,32243.567873,-200.20784,-161.05048,-54986.02,-2554991,373.33334,light
202,307,105,105,0,0,0,0,0,-102,-96,-100,-33370,17956.540459,-165.19801,-108.69707,-35243.805,-2636114,289.8333,light
242,526,284,284,0.142857,0.000272,0,0,0,-96,-196,-151,-113367,100965.313523,-468.45868,-215.52661,-129753.09,-23453632,742,cut
246,251,5,5,0,0,0,0,0,-59,-114,-80,-23247,8752.356574,-94.5,-92.61753,-26325.287,-1253211,300.5833,non
225,317,92,92,0.2,0.000631,0.2,0,0,-101,-136,-129,-39856,22271.303694,-177.13777,-125.72871,-43746.67,-2859122,403.8333,non
251,317,66,66,0,0,0,0,0,-132,-113,-164,-49462,30747.539105,-197.05975,-156.03154,-53457.55,-2534228,356.66666,heavy
210,307,97,97,0,0,0,0,0,-142,-103,-138,-41323,26486.58801,-196.77618,-134.6026,-42416.43,-1863517,223.5,heavy
239,526,287,287,0,0,0,0,0,-122,-132,-85,-54342,23490.247419,-227.37239,-103.31179,-70870.49,-25440240,902.4167,light
207,251,44,44,0,0,0.2,0,0,-28,-77,-76,-18532,6609.985642,-89.52657,-73.83267,-22946.43,-1759611,389.1667,cut
243,317,74,74,1,0.003155,0,0,0.083333,-154,-162,20,-20847,5641.8508,-85.79012,-65.763405,-46441.75,-7439888,915.7075,non
243,317,74,74,0,0,0,0,1,-177,-127,-151,-49367,31637.920954,-203.15637,-155.73186,-56158.61,-3714491,395.66666,non
