@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-37,45-53'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute wmi0 numeric
@attribute wmi1 numeric
@attribute wmi2 numeric
@attribute wmi3 numeric
@attribute wmi4 numeric
@attribute meanWMI numeric
@attribute weightedMeanWMI numeric
@attribute classe {non,light,heavy,cut}

@data
217,307,90,90,1.920427,1.953215,1.917977,1.92226,1.903377,1.898557,11.433318,light
278,526,248,248,2.202239,1.635558,1.593077,1.645151,1.618653,1.619404,10.680531,cut
118,251,133,133,1.581521,1.592899,1.554731,1.564839,1.575076,1.516259,8.371462,non
147,317,170,170,1.644767,1.609908,1.585379,1.629117,1.6462,1.470697,8.814725,non
206,317,111,111,1.612743,1.633514,1.600883,1.626495,1.604672,1.560018,9.45182,heavy
286,307,21,21,1.967569,1.943481,1.964978,1.935186,1.938183,1.927542,12.107233,non
263,526,263,263,1.60005,1.588527,1.601475,1.592928,1.5825,1.557171,9.726651,heavy
243,251,8,8,2.165142,2.245422,1.874484,2.165292,1.873649,1.83177,11.795604,light
330,317,-13,13,1.696696,2.732696,1.6951,1.742579,1.675694,1.65173,11.126496,cut
211,317,106,106,1.716558,1.717525,1.692974,1.692856,1.701985,1.654148,10.060099,non
258,307,49,49,1.80145,1.77172,1.81092,1.854734,1.83485,1.800976,11.088771,non
217,526,309,309,1.613393,1.596361,1.605394,1.645088,1.615711,1.563285,9.534339,non
201,251,50,50,1.791328,1.88928,1.889356,1.94982,1.850572,1.801428,10.775345,heavy
252,317,65,65,3.090881,2.240024,1.706425,1.676112,1.660117,1.665063,11.922732,light
271,317,46,46,1.747384,1.769489,1.749417,1.75528,1.725144,1.734379,10.780963,cut
206,307,101,101,1.913113,1.870383,1.876167,2.199523,1.854101,1.873417,11.257727,cut
185,526,341,341,1.499999,1.487701,1.455534,1.451903,1.513267,1.446575,8.577868,non
240,251,11,11,1.636869,1.65171,1.651597,1.614071,1.636865,1.663695,10.06199,non
253,317,64,64,1.500184,1.50471,1.549992,1.543753,1.496944,1.49138,9.214561,heavy
204,317,113,113,1.685968,1.793046,1.637802,1.63962,1.673439,1.586891,9.745083,light
352,307,-45,45,1.961796,1.970935,1.914006,1.992308,1.936547,1.962612,12.411203,heavy
160,526,366,366,1.600353,1.496613,1.502146,1.488316,1.476694,1.460114,8.517681,light
115,251,136,136,1.643973,1.712487,1.62307,1.71314,1.680946,1.566242,8.704006,cut
165,317,152,152,1.681134,1.680028,1.687932,1.651257,1.671783,1.527597,9.261485,non
182,317,135,135,1.664449,1.642541,1.644655,1.623125,1.67217,1.534344,9.352885,non
199,307,108,108,1.865247,1.74614,1.737329,1.711587,1.715792,1.734261,10.361154,non
209,526,317,317,1.557406,1.549297,1.532185,1.526253,1.683708,1.497,9.105144,heavy
335,251,-84,84,1.782862,1.810475,1.840694,1.764366,1.794038,1.752448,10.921664,light
303,317,14,14,2.777043,2.389844,3.68216,1.76581,1.733733,1.71698,12.922525,cut
248,317,69,69,1.737533,1.734579,1.687187,1.711244,1.761994,1.695477,10.440075,non
212,307,95,95,1.833268,1.823257,1.825022,1.827947,1.856347,1.830796,10.917685,non
308,526,218,218,1.652522,1.638853,1.654156,1.627722,1.669145,1.653277,10.428346,non
224,251,27,27,1.885585,1.843334,1.773529,1.829098,1.822574,1.790307,10.90646,heavy
138,317,179,179,1.646174,1.628372,1.611177,1.697809,1.610505,1.512561,8.853185,light
143,317,174,174,1.611325,1.649851,1.584964,1.609269,1.633356,1.471798,8.728193,cut
128,307,179,179,2.106864,1.729755,1.70344,1.71677,1.722344,1.745682,9.82461,cut
183,526,343,343,1.553841,1.570901,1.618001,1.617086,1.579021,1.55059,9.13214,non
104,251,147,147,1.675467,1.675649,1.682698,1.737737,1.838782,1.613989,8.786381,non
107,317,210,210,1.480968,1.402696,1.437839,1.507057,1.455247,1.391272,7.575645,heavy
101,317,216,216,1.574806,1.521095,1.558629,1.586561,1.53774,1.525591,8.092406,light
202,307,105,105,1.735934,1.731791,1.762355,1.761108,1.754182,1.741374,10.317994,non
215,526,311,311,1.672689,1.68256,1.663656,1.661817,1.670173,1.632163,9.922829,non
217,251,34,34,1.744094,1.960599,1.768596,1.807716,1.78961,1.755626,10.68005,heavy
218,317,99,99,1.723124,1.670495,1.570435,1.588426,1.630921,1.55301,9.613065,light
379,317,-62,62,1.663558,1.679381,1.738089,1.685062,1.686847,1.667417,10.638296,cut
283,307,24,24,2.2843,2.022576,2.025801,1.969002,1.995869,2.011785,12.894338,cut
185,526,341,341,1.472195,1.461153,1.471572,1.468654,1.484305,1.444069,8.52687,non
122,251,129,129,1.624653,1.612308,1.686781,1.679464,1.661605,1.566883,8.712667,non
287,317,30,30,1.725585,1.657527,1.687519,1.689259,1.854386,1.696646,10.77895,heavy
255,317,62,62,1.826276,1.720595,1.678953,1.735353,1.775391,1.693365,10.57499,light
202,307,105,105,1.85122,1.870492,1.889246,1.821891,1.917233,1.836215,10.943827,light
242,526,284,284,1.649983,1.612031,1.635582,1.610836,1.595963,1.566418,9.751799,cut
246,251,5,5,1.875259,1.848113,1.859519,1.873662,1.898761,1.83673,11.287315,non
225,317,92,92,1.758188,1.690739,1.734225,1.706926,1.744894,1.655201,10.182968,non
251,317,66,66,1.756498,1.758005,1.820088,1.822439,1.799817,1.733159,10.7152,heavy
210,307,97,97,1.813525,1.846734,1.807041,1.837785,1.759397,1.768404,10.64721,heavy
239,526,287,287,1.568104,1.607922,1.578518,1.615959,1.598082,1.543819,9.53543,light
207,251,44,44,1.697702,1.682834,1.699383,1.683722,1.710264,1.697566,10.094562,cut
243,317,74,74,1.622905,1.682527,1.646599,1.681177,1.714836,1.701275,10.166931,non
243,317,74,74,1.782586,1.851117,1.740871,1.78433,1.741766,1.71489,10.652077,non
