@relation 'words-weka.filters.unsupervised.attribute.Remove-R5-31,38-53'

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute mi1 numeric
@attribute mi2 numeric
@attribute mi3 numeric
@attribute mi4 numeric
@attribute meanMI numeric
@attribute weightedMeanMI numeric
@attribute classe {non,light,heavy,cut}

@data
76,251,175,175,2.748133,2.911288,2.692068,2.797656,2.671171,13.603284,non
65,317,252,252,2.762329,2.828216,2.770621,2.772676,2.729001,13.166613,non
96,317,221,221,2.98403,3.064466,2.998471,3.058133,2.997021,15.570789,cut
206,307,101,101,3.633085,3.689764,3.639519,3.88843,3.610654,21.624437,non
207,526,319,319,3.197539,3.167975,3.137818,3.110072,3.072643,18.6069,heavy
215,251,36,36,3.610388,3.549166,3.608836,3.580219,3.514514,21.138638,light
243,317,74,74,3.289545,3.339438,3.321853,3.313188,3.267245,20.021925,cut
186,317,131,131,3.497014,3.56124,3.442366,3.506364,3.25988,19.845974,non
164,307,143,143,3.500546,3.56909,3.590721,3.719961,3.50825,20.117588,non
207,526,319,319,2.930781,2.991302,3.003666,2.939534,2.91443,17.650192,non
251,251,0,0,3.607488,3.677907,3.592883,3.586568,3.635612,22.356564,heavy
188,317,129,129,3.349666,3.248606,3.198147,3.249554,3.011546,18.563496,light
303,317,14,14,3.538226,3.480561,3.568797,3.533635,3.573944,22.471146,cut
217,307,90,90,3.878344,3.813177,3.811053,3.805576,3.767905,22.642513,light
278,526,248,248,3.271115,3.174342,3.292355,3.235364,3.222186,20.44339,cut
118,251,133,133,3.160585,3.109462,3.109461,3.144421,3.005899,16.64365,non
147,317,170,170,3.193341,3.13253,3.245906,3.2924,2.924312,17.499859,non
206,317,111,111,3.253545,3.194047,3.247464,3.173599,3.102638,18.826359,heavy
286,307,21,21,3.869633,3.929955,3.866556,3.856379,3.838035,24.138306,non
263,526,263,263,3.159614,3.195869,3.161384,3.150049,3.096362,19.361116,heavy
243,251,8,8,3.771928,3.671879,3.78968,3.637921,3.631625,22.433569,light
330,317,-13,13,4.062598,3.376084,3.478531,3.343181,3.27461,21.425573,cut
211,317,106,106,3.430685,3.385926,3.385711,3.403948,3.295608,20.05639,non
258,307,49,49,3.539608,3.592014,3.697894,3.664046,3.584455,22.065495,non
217,526,309,309,3.18291,3.192394,3.2666,3.215791,3.111914,18.975763,non
201,251,50,50,3.591661,3.656076,3.677478,3.667439,3.577675,21.201847,heavy
252,317,65,65,3.6609,3.371135,3.335783,3.273116,3.292057,21.448072,light
271,317,46,46,3.503174,3.47993,3.483552,3.450287,3.453353,21.462036,cut
206,307,101,101,3.713593,3.746011,3.862003,3.708201,3.711951,22.182373,cut
185,526,341,341,2.956833,2.911662,2.904858,2.996239,2.879813,17.029385,non
240,251,11,11,3.272257,3.274392,3.227107,3.273309,3.289775,19.948687,non
253,317,64,64,3.009159,3.059189,3.071526,2.980854,2.946921,18.187029,heavy
204,317,113,113,3.442102,3.275604,3.263845,3.327259,3.155654,19.345673,light
352,307,-45,45,3.899193,3.828012,3.902799,3.873094,3.894865,24.518824,heavy
160,526,366,366,2.918007,2.976027,2.954829,2.955761,2.912656,16.76718,light
115,251,136,136,3.326892,3.24614,3.4006,3.323927,3.115735,17.293623,cut
165,317,152,152,3.332893,3.356332,3.301935,3.315225,3.039481,18.446253,non
182,317,135,135,3.279508,3.289311,3.214255,3.338767,3.050831,18.629313,non
199,307,108,108,3.471202,3.4389,3.417473,3.400818,3.447712,20.481674,non
209,526,317,317,3.072202,3.044678,3.052793,3.178774,2.979306,18.084702,heavy
335,251,-84,84,3.522891,3.561846,3.442309,3.491665,3.47152,21.267653,light
303,317,14,14,3.839971,4.833203,3.459058,3.386436,3.380669,22.6803,cut
248,317,69,69,3.468189,3.3711,3.378556,3.500464,3.373809,20.771149,non
212,307,95,95,3.646514,3.628863,3.614427,3.68633,3.642524,21.736506,non
308,526,218,218,3.268524,3.28632,3.250566,3.328852,3.289978,20.741112,non
224,251,27,27,3.686862,3.534988,3.615811,3.604651,3.549797,21.565245,heavy
138,317,179,179,3.256743,3.219874,3.232301,3.201305,2.998139,17.54285,light
143,317,174,174,3.277571,3.166208,3.189014,3.252071,2.929284,17.371874,cut
128,307,179,179,3.446432,3.397792,3.433539,3.438769,3.440703,18.859665,cut
183,526,343,343,3.147591,3.241793,3.193726,3.154163,3.092099,18.2431,non
104,251,147,147,3.351297,3.334068,3.416718,3.515241,3.207958,17.454258,non
107,317,210,210,2.805392,2.871712,3.014113,2.883567,2.760053,14.879717,heavy
101,317,216,216,3.04219,3.111419,3.145169,3.062779,3.041302,16.107752,light
202,307,105,105,3.461476,3.52471,3.508191,3.494386,3.465207,20.541676,non
215,526,311,311,3.353127,3.298282,3.294521,3.330488,3.25299,19.783165,non
217,251,34,34,3.576487,3.50878,3.493756,3.504898,3.479008,20.929708,heavy
218,317,99,99,3.192368,3.117064,3.151337,3.247341,3.058709,18.812181,light
379,317,-62,62,3.351919,3.461034,3.377855,3.345508,3.302395,21.175774,cut
283,307,24,24,4.041103,4.00344,3.931807,3.952794,3.983481,24.94527,cut
185,526,341,341,2.912325,2.940292,2.915965,2.950591,2.877793,17.003181,non
122,251,129,129,3.224616,3.31909,3.330915,3.285191,3.109454,17.308477,non
287,317,30,30,3.300609,3.340791,3.342317,3.40266,3.354528,21.01328,heavy
255,317,62,62,3.434954,3.347036,3.434713,3.527143,3.370342,20.99563,light
202,307,105,105,3.704454,3.66424,3.617125,3.725926,3.650434,21.660667,light
242,526,284,284,3.204616,3.266167,3.216269,3.187581,3.119855,19.424633,cut
246,251,5,5,3.696226,3.712246,3.73058,3.743794,3.649367,22.407616,non
225,317,92,92,3.376882,3.453675,3.378084,3.439661,3.288831,20.206886,non
251,317,66,66,3.479732,3.542395,3.564577,3.545735,3.446846,21.249731,heavy
210,307,97,97,3.606361,3.578927,3.617384,3.514198,3.519842,21.143806,heavy
239,526,287,287,3.214216,3.140045,3.230309,3.174203,3.064819,18.96582,light
207,251,44,44,3.355043,3.365518,3.357999,3.405311,3.362661,19.984398,cut
243,317,74,74,3.365055,3.279583,3.33032,3.42133,3.329582,20.131456,non
243,317,74,74,3.63358,3.456117,3.561668,3.483533,3.410779,21.167183,non
