@relation words-weka.filters.unsupervised.attribute.Remove-R51-weka.filters.unsupervised.attribute.Remove-R5-49

@attribute word1Length numeric
@attribute word2Length numeric
@attribute word2-word1Length numeric
@attribute word2-word1LengthAbs numeric
@attribute damerau numeric
@attribute levenshtein numeric
@attribute dice numeric
@attribute hamming numeric
@attribute classe {true,false}

@data
21,10,-11,11,14,14,0.777778,13,false
167,27,-140,140,156,156,1,150,false
154,20,-134,134,144,144,1,140,true
186,23,-163,163,175,175,1,169,true
109,16,-93,93,104,104,1,99,false
44,32,-12,12,43,43,1,34,true
196,30,-166,166,180,180,1,172,true
85,51,-34,34,57,57,0.772727,57,false
193,1,-192,192,192,192,1,192,false
5,3,-2,2,4,4,1,3,false
40,4,-36,36,39,39,1,39,true
59,9,-50,50,56,56,1,52,true
93,18,-75,75,88,88,1,84,true
174,18,-156,156,164,164,1,157,false
3,3,0,0,1,1,1,1,false
34,17,-17,17,28,28,1,20,false
64,10,-54,54,56,56,0.942857,56,false
18,4,-14,14,14,14,0.777778,14,false
49,26,-23,23,29,29,0.408451,27,false
167,21,-146,146,156,156,1,150,false
174,14,-160,160,167,167,1,162,false
170,1,-169,169,169,169,1,169,false
52,24,-28,28,38,38,0.777778,35,false
188,1,-187,187,187,187,1,187,true
68,10,-58,58,63,63,1,60,true
4,6,2,2,6,6,1,4,true
107,14,-93,93,101,101,1,95,false
199,30,-169,169,181,181,1,182,true
54,11,-43,43,49,49,1,47,true
154,29,-125,125,143,143,1,132,false
116,21,-95,95,104,104,0.969925,98,false
40,34,-6,6,38,38,1,26,true
112,77,-35,35,98,98,1,73,true
27,27,0,0,19,19,0.88,12,false
85,15,-70,70,78,78,1,74,true
93,26,-67,67,84,84,1,75,false
169,25,-144,144,156,156,1,150,true
183,1,-182,182,182,182,1,182,true
20,8,-12,12,14,14,0.916667,13,false
190,26,-164,164,177,177,1,169,false
14,12,-2,2,13,13,1,11,true
40,6,-34,34,39,39,1,37,true
36,23,-13,13,18,18,0.490909,19,false
11,11,0,0,11,11,1,9,true
169,24,-145,145,159,159,1,147,false
71,11,-60,60,68,68,1,62,true
162,18,-144,144,154,154,1,146,true
117,15,-102,102,110,110,1,107,false
162,20,-142,142,150,150,1,146,false
39,3,-36,36,37,37,1,37,false
164,23,-141,141,151,151,1,145,false
40,11,-29,29,38,38,1,36,true
149,22,-127,127,140,140,1,132,true
172,1,-171,171,171,171,1,171,true
135,12,-123,123,128,128,1,125,true
44,15,-29,29,40,40,1,36,false
90,20,-70,70,82,82,1,74,false
107,9,-98,98,105,105,1,101,true
112,18,-94,94,105,105,1,97,true
38,1,-37,37,37,37,1,37,false
13,14,1,1,7,7,0.826087,2,false
73,38,-35,35,62,62,1,49,true
91,14,-77,77,86,86,1,80,true
57,6,-51,51,55,55,1,54,true
37,18,-19,19,30,30,1,22,false
44,16,-28,28,36,36,0.928571,36,false
170,1,-169,169,169,169,1,169,true
16,6,-10,10,11,11,0.666667,12,false
76,1,-75,75,75,75,1,75,true
109,2,-107,107,108,108,1,108,true
28,15,-13,13,26,26,1,23,true
83,13,-70,70,78,78,1,72,true
94,17,-77,77,84,84,1,82,false
83,1,-82,82,82,82,1,82,true
102,10,-92,92,99,99,1,97,true
60,14,-46,46,57,57,1,54,true
8,5,-3,3,7,7,1,7,true
199,22,-177,177,186,186,1,179,false
189,1,-188,188,188,188,1,188,false
169,25,-144,144,158,158,1,152,false
93,11,-82,82,88,88,1,83,false
58,16,-42,42,56,56,1,50,true
44,17,-27,27,39,39,1,35,true
171,1,-170,170,170,170,1,170,true
72,12,-60,60,68,68,1,66,true
93,6,-87,87,90,90,1,88,false
78,3,-75,75,77,77,1,76,true
170,12,-158,158,165,165,1,160,false
151,1,-150,150,150,150,1,150,false
105,20,-85,85,97,97,0.983471,91,false
115,12,-103,103,110,110,1,106,true
142,14,-128,128,135,135,1,132,true
28,7,-21,21,26,26,1,25,true
93,10,-83,83,89,89,1,86,true
45,9,-36,36,42,42,1,40,false
49,6,-43,43,47,47,1,46,false
124,12,-112,112,118,118,1,114,true
156,25,-131,131,145,145,1,137,true
53,13,-40,40,48,48,1,44,true
20,16,-4,4,20,20,1,15,true
49,1,-48,48,49,49,1,49,false
69,8,-61,61,66,66,1,63,false
184,19,-165,165,171,171,1,167,false
34,32,-2,2,24,24,0.967742,14,false
188,15,-173,173,179,179,1,177,true
72,15,-57,57,64,64,0.927711,62,false
198,1,-197,197,197,197,1,197,false
65,1,-64,64,64,64,1,64,false
164,18,-146,146,155,155,1,148,false
53,7,-46,46,47,47,1,48,false
30,5,-25,25,28,28,1,27,false
74,1,-73,73,73,73,1,73,true
44,18,-26,26,38,38,1,31,false
55,26,-29,29,40,40,0.74026,37,false
123,3,-120,120,120,120,1,120,true
30,9,-21,21,26,26,1,25,false
160,12,-148,148,154,154,1,151,true
113,3,-110,110,110,110,1,110,true
100,21,-79,79,90,91,0.948718,82,false
55,7,-48,48,52,52,1,50,false
53,8,-45,45,48,48,1,46,true
101,24,-77,77,89,89,1,86,true
82,18,-64,64,74,74,1,71,false
176,22,-154,154,165,165,1,160,false
189,20,-169,169,179,179,1,171,false
113,5,-108,108,110,110,1,110,false
56,31,-25,25,42,43,0.927711,37,false
117,6,-111,111,112,112,1,111,false
188,1,-187,187,187,187,1,187,false
18,6,-12,12,17,17,1,15,true
37,5,-32,32,35,35,1,34,false
3,3,0,0,3,3,1,3,true
67,8,-59,59,65,65,1,64,false
166,12,-154,154,160,160,1,156,false
45,5,-40,40,41,41,1,40,false
111,8,-103,103,106,106,1,105,false
186,29,-157,157,171,171,1,165,false
189,1,-188,188,188,188,1,188,false
156,14,-142,142,149,149,1,144,true
27,22,-5,5,13,13,0.644444,11,false
89,3,-86,86,87,87,1,86,true
146,23,-123,123,135,135,1,131,false
62,17,-45,45,49,49,0.84,48,false
50,8,-42,42,46,46,1,44,true
2,2,0,0,2,2,?,2,true
2,2,0,0,2,2,?,2,true
124,20,-104,104,116,116,1,111,false
177,30,-147,147,165,165,1,159,false
139,13,-126,126,132,132,1,128,true
152,23,-129,129,142,142,1,135,true
157,20,-137,137,149,149,1,141,true
42,36,-6,6,38,38,1,27,true
194,22,-172,172,182,182,1,175,false
49,11,-38,38,45,45,1,41,true
122,12,-110,110,116,116,1,112,false
50,29,-21,21,45,45,1,37,true
63,12,-51,51,60,60,1,56,true
161,19,-142,142,152,152,1,147,false
156,1,-155,155,155,155,1,155,false
109,9,-100,100,104,104,1,100,true
21,9,-12,12,15,15,0.923077,12,false
180,33,-147,147,165,165,0.980861,160,false
141,1,-140,140,140,140,1,140,true
138,15,-123,123,130,130,1,125,true
144,21,-123,123,135,135,1,131,true
145,1,-144,144,145,145,1,145,false
197,23,-174,174,185,185,1,178,true
135,25,-110,110,122,123,0.974359,116,false
151,1,-150,150,150,150,1,150,true
154,26,-128,128,143,143,1,133,true
125,13,-112,112,117,117,0.970149,112,true
168,1,-167,167,167,167,1,167,false
171,26,-145,145,158,158,1,153,false
124,13,-111,111,117,117,1,115,true
144,16,-128,128,138,138,1,133,true
153,20,-133,133,144,144,1,137,true
18,17,-1,1,18,18,1,15,true
49,16,-33,33,45,45,1,39,true
5,6,1,1,1,1,0.142857,1,false
173,21,-152,152,164,164,1,155,false
190,1,-189,189,189,189,1,189,true
66,35,-31,31,62,62,1,50,true
25,13,-12,12,20,20,1,13,false
99,24,-75,75,89,89,1,82,false
165,20,-145,145,156,156,1,148,true
116,23,-93,93,106,106,1,97,true
7,3,-4,4,7,7,1,5,true
79,5,-74,74,76,76,1,75,true
42,1,-41,41,41,41,1,41,true
70,22,-48,48,65,65,1,57,true
145,11,-134,134,139,139,1,136,false
65,19,-46,46,58,58,1,51,true
92,22,-70,70,85,85,1,80,true
8,9,1,1,4,4,0.692308,1,false
117,1,-116,116,116,116,1,116,true
148,16,-132,132,140,140,1,134,false
6,4,-2,2,6,6,1,6,true
77,11,-66,66,71,71,1,69,false
67,5,-62,62,64,64,1,63,false
13,11,-2,2,12,12,1,10,true
178,21,-157,157,165,165,1,160,true
173,25,-148,148,163,163,1,156,false
193,18,-175,175,183,183,1,177,false
164,38,-126,126,150,150,1,140,false
72,31,-41,41,63,63,1,51,true
121,18,-103,103,114,114,1,108,true
72,24,-48,48,68,68,1,59,true
34,34,0,0,29,29,1,13,false
192,29,-163,163,179,179,1,168,true
79,17,-62,62,71,71,1,68,true
161,1,-160,160,160,160,1,160,false
176,16,-160,160,166,166,1,163,true
70,31,-39,39,63,63,1,49,true
7,7,0,0,7,7,1,7,true
200,30,-170,170,188,188,1,176,false
56,17,-39,39,48,48,1,45,false
54,5,-49,49,52,52,1,51,true
170,16,-154,154,162,162,1,157,true
72,30,-42,42,66,66,1,57,true
56,40,-16,16,53,53,1,39,true
60,41,-19,19,48,48,0.938144,38,false
19,12,-7,7,12,12,0.851852,8,false
44,8,-36,36,39,39,1,38,true
196,33,-163,163,180,180,1,171,false
63,15,-48,48,58,58,1,54,true
98,12,-86,86,94,94,1,90,true
121,12,-109,109,114,114,1,109,false
61,8,-53,53,56,56,1,54,false
9,8,-1,1,8,8,1,8,true
59,7,-52,52,55,55,1,53,true
115,2,-113,113,113,113,1,113,false
75,11,-64,64,69,69,1,68,true
160,16,-144,144,151,151,1,145,false
192,25,-167,167,179,179,1,171,true
162,14,-148,148,154,154,1,151,true
81,15,-66,66,75,75,1,70,false
73,12,-61,61,69,69,1,67,true
95,13,-82,82,89,89,1,84,false
150,26,-124,124,139,139,1,131,true
165,25,-140,140,154,154,0.989247,147,true
133,35,-98,98,119,119,1,108,false
110,22,-88,88,102,102,1,95,true
142,17,-125,125,134,134,1,128,false
12,6,-6,6,8,8,1,6,false
98,7,-91,91,95,95,1,95,true
71,17,-54,54,64,64,0.97619,62,false
26,17,-9,9,25,25,1,25,true
170,1,-169,169,169,169,1,169,false
32,33,1,1,23,23,0.967213,12,false
22,15,-7,7,12,12,0.939394,9,false
127,21,-106,106,118,118,1,112,false
45,1,-44,44,44,44,1,44,true
188,22,-166,166,174,174,1,172,false
82,2,-80,80,81,81,1,81,true
90,1,-89,89,89,89,1,89,false
17,20,3,3,14,14,1,6,false
37,12,-25,25,32,32,1,29,false
119,20,-99,99,110,110,1,102,false
111,11,-100,100,105,105,1,101,false
104,48,-56,56,89,89,1,77,true
197,23,-174,174,185,185,1,178,false
98,19,-79,79,88,88,1,81,true
142,1,-141,141,141,141,1,141,true
141,18,-123,123,134,134,1,130,true
121,9,-112,112,116,116,1,114,true
169,20,-149,149,157,157,1,153,true
44,17,-27,27,39,39,1,34,false
105,20,-85,85,97,97,1,91,true
154,19,-135,135,144,144,1,141,false
194,1,-193,193,193,193,1,193,false
147,28,-119,119,137,137,1,128,false
103,1,-102,102,103,103,1,103,false
34,16,-18,18,31,31,1,26,true
187,20,-167,167,177,177,1,168,true
107,19,-88,88,99,99,1,93,false
143,5,-138,138,140,140,1,140,true
55,12,-43,43,52,52,1,48,true
145,1,-144,144,144,144,1,144,false
91,1,-90,90,90,90,1,90,false
169,22,-147,147,159,159,1,152,false
168,1,-167,167,167,167,1,167,true
168,1,-167,167,167,167,1,167,false
9,7,-2,2,4,4,0.5,3,false
25,14,-11,11,23,23,1,22,true
16,14,-2,2,5,5,0.615385,7,false
95,5,-90,90,91,91,1,90,true
150,30,-120,120,138,138,1,126,false
129,18,-111,111,119,119,1,115,false
76,29,-47,47,70,70,1,60,true
79,1,-78,78,78,78,1,78,false
144,21,-123,123,136,136,1,127,true
159,19,-140,140,151,151,1,145,true
44,13,-31,31,39,39,1,35,false
185,18,-167,167,177,177,1,171,false
79,16,-63,63,74,74,1,70,true
40,14,-26,26,32,32,0.92,28,false
172,16,-156,156,161,161,1,158,false
111,16,-95,95,105,105,1,98,false
136,29,-107,107,127,127,1,114,true
62,1,-61,61,62,62,1,62,true
180,19,-161,161,170,170,1,165,true
22,27,5,5,18,19,0.955556,8,false
140,18,-122,122,132,132,1,122,false
179,1,-178,178,178,178,1,178,false
179,1,-178,178,178,178,1,178,true
121,17,-104,104,114,114,1,108,false
198,36,-162,162,183,183,1,171,true
66,8,-58,58,63,63,1,59,true
169,18,-151,151,160,160,1,154,true
38,10,-28,28,36,36,1,35,true
69,10,-59,59,65,65,1,63,false
90,1,-89,89,89,89,1,89,false
176,21,-155,155,166,166,1,157,true
106,16,-90,90,100,100,1,94,true
39,12,-27,27,32,32,0.829787,32,false
125,14,-111,111,118,118,1,116,true
63,25,-38,38,51,51,0.928571,47,false
28,7,-21,21,27,27,1,26,true
45,18,-27,27,41,41,1,39,true
142,1,-141,141,141,141,1,141,false
50,9,-41,41,43,43,0.963636,41,false
31,20,-11,11,30,30,1,25,true
140,1,-139,139,139,139,1,139,false
70,11,-59,59,63,63,1,60,false
140,16,-124,124,132,132,1,127,false
81,13,-68,68,78,78,1,76,true
145,17,-128,128,135,135,1,130,false
122,16,-106,106,113,113,1,109,false
48,12,-36,36,43,43,1,38,false
128,1,-127,127,127,127,1,127,true
106,7,-99,99,102,102,1,101,true
44,11,-33,33,40,40,1,39,true
167,10,-157,157,160,160,1,158,true
101,11,-90,90,95,95,1,94,false
148,1,-147,147,147,147,1,147,true
147,20,-127,127,136,136,1,129,true
104,12,-92,92,98,98,1,96,true
68,6,-62,62,64,64,1,62,false
49,14,-35,35,45,45,1,41,true
7,7,0,0,3,3,1,1,false
189,21,-168,168,179,179,1,172,false
78,31,-47,47,72,72,1,58,true
13,13,0,0,8,8,0.727273,4,false
134,13,-121,121,127,127,1,124,true
74,51,-23,23,67,67,1,48,true
200,1,-199,199,199,199,1,199,false
105,14,-91,91,98,98,1,93,false
109,10,-99,99,104,104,1,101,false
75,28,-47,47,66,66,1,55,true
118,16,-102,102,109,109,1,105,true
84,28,-56,56,77,77,1,66,false
157,18,-139,139,148,148,1,142,true
25,6,-19,19,23,23,1,22,true
112,25,-87,87,106,106,1,96,true
184,23,-161,161,172,172,1,164,false
43,6,-37,37,40,40,0.955556,39,false
139,1,-138,138,138,138,1,138,true
35,36,1,1,20,21,0.820896,15,false
118,14,-104,104,112,112,1,105,false
74,14,-60,60,69,69,1,64,true
144,1,-143,143,143,143,1,143,true
31,3,-28,28,31,31,1,31,true
43,27,-16,16,38,38,1,30,true
143,25,-118,118,135,135,1,123,false
140,19,-121,121,132,132,1,124,true
15,14,-1,1,14,14,1,11,true
119,1,-118,118,118,118,1,118,true
65,11,-54,54,61,61,1,59,true
122,9,-113,113,114,114,0.92126,113,false
190,26,-164,164,176,176,1,168,false
31,3,-28,28,30,30,1,30,false
59,3,-56,56,57,57,1,57,true
54,39,-15,15,49,49,1,38,true
100,11,-89,89,95,95,1,89,true
85,8,-77,77,81,81,1,79,false
152,1,-151,151,151,151,1,151,true
115,17,-98,98,108,108,1,104,true
27,3,-24,24,24,24,1,24,false
145,1,-144,144,144,144,1,144,false
18,16,-2,2,16,16,1,8,false
194,18,-176,176,184,184,1,180,false
63,12,-51,51,58,58,1,55,true
117,12,-105,105,112,112,1,109,true
69,19,-50,50,55,55,0.833333,56,false
42,37,-5,5,22,22,0.706667,25,false
113,18,-95,95,106,106,1,99,true
41,14,-27,27,38,38,1,36,true
148,32,-116,116,136,136,1,125,true
53,11,-42,42,48,48,1,45,true
4,4,0,0,4,4,1,4,true
9,9,0,0,9,9,1,9,true
165,34,-131,131,151,151,0.958974,142,false
116,27,-89,89,105,105,1,94,true
140,19,-121,121,130,130,1,124,false
75,9,-66,66,71,71,1,68,true
194,22,-172,172,182,182,1,176,true
187,21,-166,166,176,176,1,170,false
113,6,-107,107,108,108,1,107,false
90,14,-76,76,84,84,1,79,false
122,14,-108,108,114,114,1,114,true
174,20,-154,154,167,167,1,157,true
139,16,-123,123,132,132,1,124,false
145,12,-133,133,138,138,1,133,true
183,36,-147,147,165,165,1,154,false
32,27,-5,5,30,30,1,23,true
54,30,-24,24,40,40,0.85,37,false
91,11,-80,80,87,87,1,81,false
68,34,-34,34,56,56,0.959184,47,false
45,27,-18,18,42,42,1,35,true
176,1,-175,175,175,175,1,175,true
126,2,-124,124,124,124,1,124,false
96,10,-86,86,90,90,1,88,true
112,11,-101,101,104,104,1,103,false
183,29,-154,154,169,169,1,163,true
86,1,-85,85,86,86,1,86,true
36,15,-21,21,34,34,1,31,true
37,3,-34,34,37,37,1,37,true
162,21,-141,141,151,151,1,147,true
38,16,-22,22,32,32,0.96,26,false
155,1,-154,154,154,154,1,154,false
94,4,-90,90,91,91,1,90,true
39,5,-34,34,38,38,1,37,false
115,26,-89,89,107,107,1,99,true
13,2,-11,11,13,13,1,13,true
191,1,-190,190,190,190,1,190,true
85,14,-71,71,79,79,1,73,true
51,10,-41,41,46,46,0.964912,44,false
154,15,-139,139,147,147,1,141,false
135,4,-131,131,133,133,1,132,false
63,74,11,11,54,54,0.924812,32,false
66,20,-46,46,61,61,1,54,true
88,12,-76,76,81,81,1,78,true
42,4,-38,38,41,41,1,41,true
153,14,-139,139,146,146,1,140,false
156,18,-138,138,145,145,1,139,true
111,2,-109,109,109,109,1,109,true
174,24,-150,150,163,163,1,154,true
54,29,-25,25,49,49,1,38,true
6,4,-2,2,4,4,1,4,false
107,12,-95,95,103,103,1,100,true
159,1,-158,158,158,158,1,158,true
126,1,-125,125,125,125,1,125,true
182,19,-163,163,169,169,1,166,true
126,18,-108,108,120,120,1,111,true
160,13,-147,147,153,153,1,151,true
88,67,-21,21,80,80,1,58,true
136,36,-100,100,124,124,1,112,true
75,8,-67,67,73,73,1,70,true
17,20,3,3,20,20,1,12,true
58,4,-54,54,55,55,1,55,true
44,31,-13,13,40,40,1,32,true
144,20,-124,124,134,134,1,127,false
37,23,-14,14,35,35,1,26,true
70,6,-64,64,68,68,1,66,true
117,36,-81,81,97,97,0.919463,94,false
150,24,-126,126,140,140,1,135,true
157,22,-135,135,146,146,0.965517,140,false
75,17,-58,58,71,71,1,67,true
159,16,-143,143,152,152,1,144,false
110,1,-109,109,109,109,1,109,true
27,24,-3,3,25,25,1,17,true
147,12,-135,135,140,140,1,138,false
87,21,-66,66,80,80,1,75,true
145,18,-127,127,137,137,1,130,true
45,9,-36,36,39,39,0.96,38,false
139,14,-125,125,131,131,1,127,true
24,19,-5,5,18,18,0.897436,13,false
191,16,-175,175,181,181,1,176,true
200,22,-178,178,190,190,1,181,false
27,17,-10,10,26,26,1,24,true
113,2,-111,111,112,112,1,112,false
76,8,-68,68,73,73,1,70,false
38,9,-29,29,34,34,1,33,true
113,5,-108,108,111,111,1,110,false
55,7,-48,48,52,52,1,52,true
103,14,-89,89,96,96,1,93,true
43,10,-33,33,41,41,1,38,true
198,1,-197,197,197,197,1,197,true
56,47,-9,9,50,50,1,35,true
45,39,-6,6,34,34,0.925,22,false
139,13,-126,126,133,133,1,126,true
183,19,-164,164,171,171,1,167,true
122,1,-121,121,121,121,1,121,false
21,21,0,0,4,4,0.263158,5,false
175,19,-156,156,167,167,1,160,false
141,29,-112,112,131,131,1,120,true
98,12,-86,86,90,90,0.981132,88,false
137,20,-117,117,128,128,1,120,false
194,1,-193,193,193,193,1,193,true
2,2,0,0,1,2,?,0,false
155,23,-132,132,144,144,1,135,false
144,2,-142,142,142,142,1,142,false
36,14,-22,22,28,28,0.869565,25,false
188,22,-166,166,177,177,1,170,true
47,5,-42,42,44,44,1,43,false
32,10,-22,22,30,30,1,28,true
67,1,-66,66,66,66,1,66,false
122,2,-120,120,120,120,1,120,false
62,11,-51,51,58,58,1,56,false
110,31,-79,79,100,100,1,87,false
19,5,-14,14,16,16,0.9,16,false
29,21,-8,8,27,27,1,22,true
66,12,-54,54,61,61,0.945946,58,false
100,35,-65,65,91,91,1,82,true
106,19,-87,87,100,100,1,93,true
171,1,-170,170,170,170,1,170,false
27,19,-8,8,25,25,1,19,true
88,14,-74,74,84,84,1,78,false
37,14,-23,23,29,29,0.957447,24,false
88,9,-79,79,83,83,1,81,true
76,7,-69,69,72,72,1,70,false
13,8,-5,5,11,11,1,11,true
159,20,-139,139,150,150,1,146,false
28,18,-10,10,25,25,1,22,true
89,20,-69,69,80,80,1,72,false
115,13,-102,102,111,111,1,107,false
53,23,-30,30,50,50,1,42,true
167,21,-146,146,156,156,1,148,true
174,22,-152,152,162,162,1,159,false
136,15,-121,121,126,126,1,124,false
46,1,-45,45,45,45,1,45,false
199,22,-177,177,188,188,1,180,true
138,18,-120,120,130,130,1,124,false
100,12,-88,88,94,94,1,89,false
199,31,-168,168,184,184,1,176,false
149,17,-132,132,141,141,1,133,true
183,25,-158,158,172,172,1,166,false
138,15,-123,123,130,130,1,125,true
18,19,1,1,19,19,1,13,true
94,16,-78,78,88,88,1,80,false
199,27,-172,172,188,188,1,180,false
120,16,-104,104,113,113,1,109,true
73,48,-25,25,67,67,0.982906,51,true
24,28,4,4,27,27,1,18,true
153,20,-133,133,143,143,1,135,true
38,5,-33,33,37,37,1,36,false
148,21,-127,127,138,138,1,134,false
10,10,0,0,2,2,0.125,2,false
98,12,-86,86,91,91,1,87,true
51,19,-32,32,48,48,1,39,true
140,20,-120,120,130,130,1,123,true
142,1,-141,141,141,141,1,141,true
107,12,-95,95,103,103,1,99,false
31,31,0,0,3,3,0.310345,9,false
30,14,-16,16,26,26,1,24,false
75,17,-58,58,70,70,1,64,false
64,11,-53,53,60,60,1,57,false
181,24,-157,157,168,168,1,164,false
137,38,-99,99,125,125,1,109,false
121,14,-107,107,113,113,1,112,false
93,2,-91,91,92,92,1,92,true
91,12,-79,79,83,83,1,84,false
11,11,0,0,7,7,1,2,false
128,4,-124,124,126,126,1,126,true
99,18,-81,81,94,94,1,88,false
163,28,-135,135,150,150,1,138,true
61,26,-35,35,55,55,1,46,true
22,12,-10,10,15,16,0.866667,13,false
134,20,-114,114,123,123,0.986667,117,false
92,22,-70,70,82,82,0.981818,76,false
174,23,-151,151,162,162,1,154,true
141,20,-121,121,131,131,1,123,false
159,1,-158,158,159,159,1,159,false
47,9,-38,38,40,40,0.923077,40,false
124,17,-107,107,118,118,1,110,true
120,16,-104,104,112,112,1,110,false
200,32,-168,168,187,187,1,178,false
147,1,-146,146,146,146,1,146,true
148,25,-123,123,137,137,1,128,true
189,19,-170,170,179,179,1,175,false
159,21,-138,138,151,151,1,143,true
134,26,-108,108,120,120,0.923077,115,false
196,25,-171,171,184,184,1,179,true
185,5,-180,180,181,181,1,180,false
106,17,-89,89,98,98,1,93,false
162,21,-141,141,154,154,1,150,false
51,14,-37,37,47,47,1,46,true
58,12,-46,46,50,50,0.909091,50,false
125,25,-100,100,115,115,1,107,true
143,17,-126,126,135,135,1,128,false
165,1,-164,164,164,164,1,164,false
40,25,-15,15,34,34,1,31,true
124,15,-109,109,118,118,1,112,true
35,13,-22,22,33,33,1,30,false
106,10,-96,96,102,102,1,98,true
117,19,-98,98,107,107,1,100,false
